Company,ASML Holding N.V.,Adobe Inc.,"Advanced Micro Devices, Inc.","Airbnb, Inc.",Alphabet Inc. (Class A),Alphabet Inc. (Class C),"Amazon.com, Inc.","American Electric Power Company, Inc.",Amgen Inc.,"Analog Devices, Inc.",AppLovin Corporation,Apple Inc.,"Applied Materials, Inc.",Arm Holdings plc,AstraZeneca plc,Atlassian Corporation Plc,"Autodesk, Inc.","Automatic Data Processing, Inc.","Axon Enterprise, Inc.",Baker Hughes Company,Biogen Inc.,Booking Holdings Inc.,Broadcom Inc.,CDW Corporation,CSX Corporation,"Cadence Design Systems, Inc.","Charter Communications, Inc.",Cintas Corporation,"Cisco Systems, Inc.","CoStar Group, Inc.",Coca-Cola Europacific Partners,Cognizant Technology Solutions Corporation,Comcast Corporation,"Constellation Energy, Inc.","Copart, Inc.",Costco Wholesale Corporation,"CrowdStrike Holdings, Inc.","Datadog, Inc.","DexCom, Inc.","Diamondback Energy, Inc.","DoorDash, Inc.",Electronic Arts Inc.,Exelon Corporation,Fastenal Company,"Fortinet, Inc.",GE Healthcare,"Gilead Sciences, Inc.",GlobalFoundries Inc.,Honeywell International Inc.,"Idexx Laboratories, Inc.",Intel Corporation,Intuit Inc.,"Intuitive Surgical, Inc.",KLA Corporation,Keurig Dr Pepper Inc.,Lam Research Corporation,Linde plc,Lululemon Athletica Inc.,"Marriott International, Inc.","Marvell Technology, Inc.","MercadoLibre, Inc.","Meta Platforms, Inc.",MicroStrategy Incorporated,Microchip Technology Inc.,"Micron Technology, Inc.",Microsoft Corporation,"Mondelez International, Inc.",Monster Beverage Corporation,NVIDIA Corporation,NXP Semiconductors N.V.,"Netflix, Inc.","O'Reilly Automotive, Inc.",ON Semiconductor Corporation,"Old Dominion Freight Line, Inc.",PACCAR Inc.,PDD Holdings Inc.,Palantir Technologies Inc.,"Palo Alto Networks, Inc.","PayPal Holdings, Inc.","Paychex, Inc.","PepsiCo, Inc.",QUALCOMM Incorporated,"Regeneron Pharmaceuticals, Inc.","Roper Technologies, Inc.","Ross Stores, Inc.",Shopify Inc.,Starbucks Corporation,"Synopsys, Inc.","T-Mobile US, Inc.","Take-Two Interactive Software, Inc.","Tesla, Inc.",Texas Instruments Incorporated,The Kraft Heinz Company,"The Trade Desk, Inc.","Verisk Analytics, Inc.",Vertex Pharmaceuticals Incorporated,"Warner Bros. Discovery, Inc.","Workday, Inc.",Xcel Energy Inc.,"Zscaler, Inc."
ASML Holding N.V.,0.0006801963706141827,0.00014110421282812784,0.00045527228876993445,0.00016714717552284705,0.00013237163826352997,0.0001314489434285273,0.00019788170218929836,-5.287256606092132e-05,4.9658342161582004e-05,0.0002758767459598501,0.0003577066416828605,0.00010036689924949394,0.0005456866810691037,0.0006099728424367808,4.4326771646001906e-05,0.00020029081453674043,0.00018038356332379885,2.2570320830629732e-05,0.00012697004968561368,6.0663364010529454e-05,6.034354677037118e-05,0.00014917400148236934,0.0004713052315922835,0.000143115320372667,4.6776531755239716e-05,0.00032896641272989256,2.24374182489781e-05,7.450918645268713e-05,4.3052799830469936e-05,8.32297645492732e-05,5.3448046489992e-05,6.001878238829464e-05,1.0186211387288027e-05,0.0003069609320880445,0.0001207946469310883,9.383241354164302e-05,0.00026770929516949446,0.0002139562317081434,6.936382858823595e-05,7.228860794407904e-05,0.00018718555827526736,8.335434667508189e-05,-4.785742689474973e-05,7.305631054325028e-05,0.00010020117068188182,0.00012188213150528299,-1.84860169892387e-05,0.00027066284392140565,5.5673943138580065e-05,0.00015993651822192095,0.00032951646433181586,0.0001651344553975824,0.00017463857094166817,0.0005547450253459298,-1.4886609749717087e-05,0.0005411461662756481,4.9340871201882945e-05,0.000155648322795422,0.00011183267760003227,0.0004781762434009312,0.00012227528185331088,0.00021155750448226802,0.00038521696845906215,0.00034978585549589735,0.00045690505988396515,0.00013519407160362116,-2.6793458239891283e-05,3.7468627302025863e-06,0.00048071177944048474,0.00033345034687757647,0.0001989463871759047,1.6917547747643118e-05,0.0003898370029149926,0.00014946465612938084,0.00013028886765674793,0.00017215113141009838,0.00029485608543922457,0.00013885008050320552,0.0001394944303865091,1.8455446209507445e-05,-3.827475567955292e-05,0.0003694907148680216,5.1095228736941136e-05,6.959948762074174e-05,8.917528459207988e-05,0.00030106296291498283,8.791953258810187e-05,0.00034502673466546975,1.3977189210500468e-05,9.352062842441193e-05,0.00022921406988840292,0.00021254617557438907,-4.13534689580103e-05,0.00022018616094187802,-7.788845839690868e-06,5.311216220912585e-05,8.21592609409915e-05,0.0001096327075279816,-5.570214937023207e-05,0.00022992074797823728
Adobe Inc.,0.00014110421282812784,0.00045460876760099666,0.000164638457152732,0.00011692154463862165,0.00013149450833910108,0.00013088030684413178,0.00016592558199778675,-6.658146234152022e-06,4.248494809212486e-05,8.926322121491663e-05,0.00013654568914364744,6.945523040176488e-05,0.0001478203452825555,0.00016213293927326583,9.73415569292226e-06,0.0001847944137323789,0.0001242310912329709,5.701820536949975e-05,9.148037699603043e-05,9.893982803886511e-06,3.25617201010363e-05,8.034639523538344e-05,0.00019124124641205402,4.995268502704837e-05,5.3321093769099276e-05,0.00018729512097424394,7.183443384932232e-05,6.943373714222527e-05,6.596687738534129e-05,3.791048378522747e-05,3.268692818751515e-05,7.051786993340438e-05,4.051468990579918e-05,4.0813268787325795e-05,0.00010514692776037245,7.663613652664888e-05,0.00018987759696032413,0.00018248348986542532,5.6618408080501607e-05,-2.7247405767285243e-06,0.00011329788699931206,6.465512560023809e-05,1.364140928038425e-05,4.7637897399456854e-05,9.378592454058633e-05,3.598938723756251e-05,4.2077627137911145e-05,0.00016989085269560275,4.946281857690401e-05,8.197919893576972e-05,0.0001493880121417156,0.000154303044595784,7.866425053385468e-05,0.0001528594230929902,2.2475911787609225e-05,0.00016628949677054754,3.953496618452863e-05,0.00011347218549975712,7.276820396603214e-05,0.0001939391258558106,9.523544409315626e-05,0.00013636495096823703,0.00015503192316155856,0.00011472141749278924,0.00012474677066796327,0.00011653795093346969,1.4278190465284487e-05,3.78525394591653e-05,0.000199905757413897,0.00010166268771766666,0.00012596067946067836,4.4023388950437974e-05,9.769774972969349e-05,0.00010693404107374872,6.0730496961899586e-05,2.046878363126608e-05,0.0001775518625305393,0.00016880021244148474,9.527759436747005e-05,5.300906181138147e-05,2.1520055026036303e-05,0.0001173186959368546,5.88056710527418e-05,8.71918728097637e-05,4.91753109417399e-05,0.0002596044025917133,4.229748271065892e-05,0.00018223470205322022,4.33883706574914e-05,6.482743045020271e-05,0.00010858457868970121,6.10656770921418e-05,-1.1544303874947415e-06,0.00010218143964112292,5.193057713880375e-05,3.796120660344566e-05,-4.75209890248237e-05,0.00014390062663867826,4.6372030892119235e-07,0.00019780317337147042
"Advanced Micro Devices, Inc.",0.00045527228876993445,0.000164638457152732,0.0008545342382132084,0.0002420528175489013,0.00021288365066045816,0.0002097741341606219,0.00022074448250418647,-5.108692335058043e-05,4.4375619164330674e-05,0.0002876131727482285,0.00040639160888345747,0.00011891728104898514,0.0004621828757721293,0.0005593441716803489,-4.050341665025348e-06,0.00014650382693988495,0.0001731622181302783,2.242321927033603e-05,0.00015023799030810172,5.2679358952651655e-05,6.196770115832502e-05,0.0001622552735869682,0.00046510102297764793,0.00020581019584739002,5.062572749765684e-05,0.00032221580958585614,3.264751339242659e-05,9.77274214419454e-05,7.915304720166066e-05,0.00011505208706186376,3.061880097326679e-05,8.229104228320472e-05,6.423761435352064e-05,0.000285040796441189,0.00013649615335775456,9.632413021138017e-05,0.00029096323182667845,0.00026781781978298103,0.00016853828666246642,4.7157025405466646e-05,0.00025550687022082586,6.776267002831558e-05,-4.039411025978321e-05,9.701560212452955e-05,9.634833396758653e-05,9.84976323876909e-05,2.2617270244421683e-05,0.00036347026656355916,6.793252737246548e-05,0.00013493806859501034,0.0003686369756301155,0.00016497207267609303,0.00018494739437093245,0.0004647796559081319,-2.144303281571702e-05,0.0004665874850170853,5.6447234862365264e-05,0.0001196005164653378,0.00013979031249991187,0.0005547975887473239,0.00022791296756307874,0.00025742570312581005,0.0004818630175810259,0.0003334484964689031,0.0004326891785759831,0.00014923941482726958,-4.8004424023021656e-06,2.300439504304396e-05,0.0005328436559753325,0.00033629786548532164,0.00020026125642190828,3.7380313984822535e-05,0.00041178844868525974,0.0001399102775097606,0.00013328844019754862,0.00019411840011126905,0.000345880466384105,0.00016674759169403466,0.00013596298408087709,3.007971903443574e-05,-4.4897058729101945e-05,0.0003633629158470989,6.625207999779173e-05,8.183819752015084e-05,8.734386409749685e-05,0.0002909459344170255,0.00012834641412010842,0.0003356312769665377,3.0380360049410165e-05,0.00011205003279098066,0.00031869661903079617,0.0002310289470634963,-7.784865465180354e-06,0.00022819432620993494,-3.0466509328885633e-06,5.3492493806251256e-05,9.810023908412915e-05,9.007135379698421e-05,-7.280985054985409e-05,0.00023308784754211766
"Airbnb, Inc.",0.00016714717552284705,0.00011692154463862165,0.0002420528175489013,0.0005172904040957848,0.00012547849450110602,0.00012761835450762215,0.00015088483572341902,1.6443211536622627e-06,5.0274561079070995e-05,0.00016648210863235926,0.0003416806352565789,8.25804257463774e-05,0.00015974690807615827,0.00038916167687522027,7.812577331517714e-06,0.00018910776204651608,0.0001312339177897603,2.576354512528522e-05,3.4583658296689537e-05,6.235110519928879e-05,4.5919057728035146e-05,0.00014491073228920916,0.0001735908985042209,9.481409083208182e-05,5.80903989270075e-05,0.00017496859330914748,9.80040718821434e-05,4.680992839903017e-05,7.098611471287891e-05,0.00011215560057549904,3.902482117810889e-05,9.118184640979819e-05,7.220164596992228e-05,0.00013263723068896146,9.397710757719216e-05,6.198938655087294e-05,0.00018600283623241198,0.00019708081749295194,0.00017517018829829118,6.0907690032518996e-05,0.0002025426463609452,2.95538644049333e-05,-5.298054456145115e-06,4.4130838280014915e-05,-3.2222846766888904e-05,0.0001133734085710018,3.548400402313396e-05,0.00020655723809662218,4.758017188875341e-05,8.62730159711647e-05,0.00019379810218863512,0.00012647332183055463,0.00011282548281314464,0.0001778294969501953,1.3586653963474503e-05,0.00020043049991869642,3.5214410882034626e-05,0.00011289713628043157,0.00013727383823869846,0.00025710384847447607,0.00010713457238866729,0.00016153470011553446,0.0003854506700785645,0.00022492088363849393,0.00019880890082465445,9.399664570086983e-05,1.5276268698182632e-06,4.3819810947754297e-05,0.0002612664572064068,0.0002038973546204046,0.00011696074231439321,5.2421693940180275e-06,0.00023424945627154237,0.000117163010291669,7.80876967100183e-05,0.0001153583739088168,0.0002879490456392269,0.00011861125457723538,0.00015153599076741985,3.6846983227709746e-05,-1.9995408034406684e-06,0.0001673916062566309,2.8421244488733394e-05,6.328260768037615e-05,7.009152452524819e-05,0.00014692198355152947,6.066273427751395e-05,0.00018461362097037273,2.391766312514856e-05,0.00010261362217242152,0.00022920504983540334,0.00014099451144880846,1.7973536780061328e-06,0.00020241490619948697,-2.309656785571813e-07,3.261035164795663e-05,0.00019495162384938275,9.541351858590153e-05,-1.4768499348234587e-05,0.0001705129570794537
Alphabet Inc. (Class A),0.00013237163826352997,0.00013149450833910108,0.00021288365066045816,0.00012547849450110602,0.00032463045295909597,0.00032076042165816976,0.00018405925270563954,-3.0332281009995818e-05,8.373694602741389e-06,0.00010184086961645873,0.00026509936682232943,9.241845969133382e-05,0.00014612618365180189,0.0002241967731267882,-1.5189662184459155e-06,0.00010599737728594757,8.967654867499776e-05,3.52008973061834e-05,4.838402394994975e-05,4.760062494441099e-05,3.437210229165564e-05,7.520970923770838e-05,0.0001866815672301159,4.0890940568899895e-05,2.227968177583299e-05,0.00015146036582565893,6.217192716421625e-05,4.567307283660446e-05,5.396667585545196e-05,6.458371428141314e-05,2.1371371603384214e-06,5.662500360553593e-05,4.0748722600345645e-05,0.00012283593993786613,7.009336464864976e-05,4.549894380308545e-05,0.00014409451723501404,0.00013095727970351763,2.9378686295420273e-05,1.7653353406371687e-05,0.00012219386916667712,2.7606379631829932e-05,-1.961483183231852e-05,3.332843769055863e-05,6.942780386862771e-05,5.6089130767986e-05,1.1475139739541017e-05,0.0001461311314332752,5.1123877361561926e-05,8.031757778192283e-05,0.00011594519098536784,0.00010679287629691352,8.999519835596114e-05,0.00015141996002397904,1.0782395864435738e-07,0.0001553338239373559,2.5691368045339443e-05,8.58962743509211e-05,6.897301959445249e-05,0.0001991047603121334,9.749424419628002e-05,0.00016474517057228432,0.00022216456427778792,0.00011598289180438002,0.00014425159346621985,0.00011430489068383071,-2.766654954212048e-06,1.3130621189251267e-05,0.00021267988038985687,0.00010654557030657031,0.00010298983229911816,1.3316979517576418e-05,0.00014556230565293185,3.4964083536161095e-05,4.249745696418689e-05,9.920160941538567e-05,0.00018050780002063576,0.00010353245360518846,9.289157066521142e-05,3.380418729715957e-05,-1.7094808218652136e-05,0.0001257805633146882,4.021917451379762e-05,6.462969028816104e-05,3.756002046446612e-05,0.0001972350717470676,3.2229999693218674e-05,0.00016399259716444052,7.123724214356167e-06,4.983663625753123e-05,0.0002016916949931676,8.29115743697282e-05,-1.4096989782958158e-05,0.00013066505366380294,2.1175514620624146e-05,4.7185169522902826e-05,7.417808327389054e-05,6.041753622198628e-05,-1.382157009252907e-05,0.00015782133741107238
Alphabet Inc. (Class C),0.0001314489434285273,0.00013088030684413178,0.0002097741341606219,0.00012761835450762215,0.00032076042165816976,0.0003181442972218932,0.00018193954208017,-2.8428032002138227e-05,1.0587848025731496e-05,0.00010249774839952548,0.00025835431432947047,9.228875797686459e-05,0.00014648725158296363,0.00022543726416513342,4.468717060619533e-08,0.00010697102171619722,9.00493113792509e-05,3.6496676101596994e-05,4.794866194277534e-05,4.947548599715604e-05,3.522835694343546e-05,7.548713531790982e-05,0.00018526377244255018,4.0862172002378306e-05,2.3411106916873646e-05,0.0001508836086925538,6.229986947463646e-05,4.747710644889562e-05,5.443592900493255e-05,6.618508481595639e-05,3.07038958243794e-06,5.6535798899215574e-05,4.177701471095131e-05,0.00012271012879401584,7.045643062797786e-05,4.490641666901608e-05,0.00014447604121898942,0.00013310410500227341,3.143342133522719e-05,2.082228901555316e-05,0.00012069749815391143,2.893433980265399e-05,-1.7409418806488454e-05,3.40286467060042e-05,6.628859199883174e-05,5.57164514260016e-05,1.137412194079601e-05,0.00014768739262155744,5.0929044302109744e-05,8.095736025334735e-05,0.00011822526489536157,0.00010651025770969123,8.910784377261594e-05,0.000151551235816446,1.4299325023212049e-06,0.00015550581626255623,2.5561915910076713e-05,8.746265069411504e-05,6.99282107649439e-05,0.00019795288811882763,9.789134325394683e-05,0.00016154066412515586,0.00022062676545393838,0.00011577405133933382,0.0001451856745377649,0.00011352766341077157,-1.8337841790990751e-06,1.4526779563440403e-05,0.00021153446091188097,0.00010702310719758582,0.0001019511263641382,1.3827726313391422e-05,0.0001453896874493593,3.7913782574842766e-05,4.316979016678056e-05,9.709096838001495e-05,0.00018097769071315437,0.00010193841676708293,9.317814911126275e-05,3.482647987753382e-05,-1.5659312904766683e-05,0.00012584705313140892,3.934280281511545e-05,6.500936124293428e-05,3.775398397831773e-05,0.00019456502505911665,3.437471883010848e-05,0.00016365104802863856,8.096339579508593e-06,5.1463595485385155e-05,0.00020186470204956725,8.418174233762343e-05,-1.336712607720588e-05,0.0001326791169910056,2.0872823200697647e-05,4.848138401039415e-05,7.601443595120868e-05,6.29971111098538e-05,-1.1805333577133018e-05,0.00015786387081454203
"Amazon.com, Inc.",0.00019788170218929836,0.00016592558199778675,0.00022074448250418647,0.00015088483572341902,0.00018405925270563954,0.00018193954208017,0.000317553656684526,-1.895218411346797e-05,1.874884407304935e-05,0.00011765188673807017,0.000299683683105244,9.295124535019895e-05,0.00019182284727850427,0.00029532649468776975,1.6410631039364885e-06,0.0002079184924878856,0.00012496802725078901,3.2939720229898715e-05,0.000107758379637884,4.012867508076843e-05,2.40095611592615e-05,0.00010109628751659913,0.00023550308181763643,6.661350384589928e-05,4.532701495699183e-05,0.00019656789500614703,4.624528138036564e-05,6.464451632404317e-05,7.030137540762028e-05,8.024980857012967e-05,1.9369735072932756e-05,6.971379645982508e-05,4.57360193387736e-05,0.00013550474254304758,8.907555020237033e-05,7.697178456051967e-05,0.00021917462423308917,0.0002212559995573864,4.3837106690461615e-05,1.85301823888292e-05,0.00014035096700936098,4.03544164769153e-05,-2.03109992595557e-05,6.185944992942163e-05,0.00010218336396099534,6.433959939430537e-05,1.369882995257228e-05,0.00016394003162958142,5.189493689654779e-05,9.153944948729518e-05,0.00022289808868076108,0.0001445903157911329,0.00011287183685572019,0.0001890629698681773,-2.3059282038012573e-06,0.000196433212417187,3.7564719764176525e-05,0.00013683034402202577,8.764100052042119e-05,0.00026848482910373406,9.32743655494548e-05,0.00022495427443980847,0.00023425673877582406,0.0001432096464448394,0.00018332193483042232,0.00014710270598560562,-1.478321252775075e-05,3.250883351827114e-05,0.0002635108658890962,0.0001218515549072599,0.00013287656037702598,3.3471700190659656e-05,0.0001518736114727855,0.00011457953813337928,6.001996861823376e-05,8.493897459931701e-05,0.0002563894684892792,0.00015299964480606668,0.00010931344446605775,3.2519201092155214e-05,-1.5481235470804798e-05,0.00015752829929586884,4.5313490454632085e-05,7.141155228343719e-05,6.236447700273346e-05,0.0002766250890974903,3.580139859730031e-05,0.00019842845398666226,1.4385506894483148e-05,5.0056218907950235e-05,0.00021624018230068345,9.472371424948007e-05,-2.4355719808597465e-05,0.00017223026976581336,1.521806727368518e-05,4.716839882440984e-05,7.889512406605716e-05,0.00012305164362720467,-2.309841870808942e-05,0.00020873186536850925
"American Electric Power Company, Inc.",-5.287256606092132e-05,-6.658146234152022e-06,-5.108692335058043e-05,1.6443211536622627e-06,-3.0332281009995818e-05,-2.8428032002138227e-05,-1.895218411346797e-05,0.00015437198211645675,4.8040132861569823e-05,-3.1226383253780424e-07,-1.9169488617552207e-05,5.688531075868642e-06,-6.0861821087190676e-05,-0.00010640961287297144,3.667059482014825e-05,1.9029994758580613e-05,-3.569972025666952e-06,2.7180609831730043e-05,1.0559148906196735e-05,1.1809373433831453e-05,4.65743752646881e-05,-8.871635011087357e-06,-7.892783092343987e-05,-7.128760261657605e-07,2.9801157418623914e-05,-6.311562365831407e-05,4.758800234294057e-05,3.646515014766002e-05,7.579096255356279e-06,5.822791346844963e-05,3.844881617168104e-05,2.6637362128988504e-05,2.8057814342256293e-05,1.0679405814065605e-05,6.275415980337642e-06,7.330018610528702e-06,-6.11267035558535e-05,-3.448574443962836e-05,1.0780802497288758e-06,1.5063922065271458e-05,4.289630023044242e-06,2.2631286421644402e-05,0.00010745265827880407,3.5362190392530158e-06,1.2382802383717165e-05,3.5911098105808005e-05,4.093219449270487e-05,-5.374677069156828e-06,3.1359235931930665e-05,2.4061781031473358e-05,3.932341666105751e-06,4.565659685130936e-06,6.22875917514816e-06,-5.810932600900534e-05,4.465290964920847e-05,-5.6643302788608056e-05,1.9880622832748297e-05,-2.026152454729123e-06,-2.511443689107505e-06,-5.6964188277432116e-05,1.620927423659775e-05,-2.4709878453192935e-05,-4.5798162946038855e-05,1.2647789047948983e-05,-6.368186210085987e-05,-1.4037787186871439e-05,5.567590816366611e-05,4.528979466416953e-05,-0.00010298022605183532,-5.0668292524113295e-06,-1.8719255083655585e-05,1.3988566642944815e-05,-1.3617154052238133e-05,4.547115955032172e-06,1.0340929944883663e-05,-1.7759200821023236e-05,5.894483575772114e-06,-2.5325053779298617e-05,4.380476245702192e-05,2.748387220482519e-05,5.728249236979507e-05,-3.6210212433209255e-05,1.9962697138392034e-05,2.4118073758966168e-05,2.1580996655605003e-05,-8.110582316130306e-06,1.9226007833803256e-05,-5.755774381991305e-05,2.6331169073647897e-05,7.249104803172941e-07,-2.1353182690228854e-05,1.6029306164770194e-05,5.821998737580801e-05,1.3058498759641758e-05,3.222227971739504e-05,4.0620025116489056e-05,9.726919656332731e-05,4.258032991522223e-06,9.152473980551096e-05,-1.7637876082736596e-05
Amgen Inc.,4.9658342161582004e-05,4.248494809212486e-05,4.4375619164330674e-05,5.0274561079070995e-05,8.373694602741389e-06,1.0587848025731496e-05,1.874884407304935e-05,4.8040132861569823e-05,0.00024836505081819623,6.322914614510637e-05,2.8788190843326832e-05,4.398226592446638e-05,6.402594832570832e-05,5.461480455454533e-05,4.1760755323187656e-05,4.9158358802339794e-05,6.951961897811193e-05,4.1411056529214754e-05,1.3087997508353643e-05,4.9771609526000366e-05,0.00010751195672170389,4.478886604191164e-05,3.292789378604455e-05,5.095470639081331e-05,5.8523570014473816e-05,5.127892815693327e-05,8.279544252688738e-05,4.5098284930289494e-05,4.3707858626607165e-05,8.050036115217673e-05,5.49768453306658e-05,4.5800321909021813e-05,6.0863543742771034e-05,9.459583755429755e-06,5.8288924344644726e-05,4.209182836777322e-05,2.1765864607879035e-05,8.219882150191542e-06,1.9272811135313608e-05,3.8631325496372514e-05,2.1059057887260062e-05,4.3743425006883254e-05,4.47498349964463e-05,4.927157837573082e-05,-5.395832679904546e-05,6.21031323844242e-05,7.069251527537214e-05,7.110875564049047e-05,4.091308677217228e-05,8.40980075355579e-05,7.987854784635546e-05,3.250729515929397e-05,3.8547398421426156e-05,6.313310921711657e-05,4.1005670141123696e-05,6.132933803869813e-05,2.967119327288107e-05,6.297385777820211e-05,3.6965383459181464e-05,4.1609102855495186e-05,5.321525986336873e-05,2.3232334693181153e-05,0.000124043445343817,9.345729871125889e-05,4.6721628933402525e-05,1.739416956826774e-05,4.4527038997333814e-05,3.918935411070055e-05,8.942413290794476e-06,7.572080624581645e-05,8.817955839401885e-06,3.228431278074028e-05,8.262760210077354e-05,7.812051037789444e-05,5.052712007992258e-05,2.208534035166804e-05,2.363182253991431e-05,1.7201385319908935e-05,6.75892101810778e-05,5.302244350686511e-05,5.59107617167802e-05,3.876318182315633e-05,8.040900908913947e-05,5.705102515972845e-05,4.285314511875426e-05,-1.601451701993582e-05,3.7978827018513664e-05,5.4838990348878364e-05,2.7787224477281405e-05,2.785492398033279e-05,5.028851503202522e-05,6.449428425654342e-05,6.263541576248806e-05,1.738934328094142e-05,4.6981997845656434e-05,8.11889585818553e-05,9.727267487437767e-05,5.223050512233772e-05,5.297210309478187e-05,2.8996515289726705e-05
"Analog Devices, Inc.",0.0002758767459598501,8.926322121491663e-05,0.0002876131727482285,0.00016648210863235926,0.00010184086961645873,0.00010249774839952548,0.00011765188673807017,-3.1226383253780424e-07,6.322914614510637e-05,0.00038266331335455096,0.00020819647341952636,9.13719872979896e-05,0.0003011413961419708,0.00041015004428763836,3.36965508573801e-05,0.0001330158032069516,0.00013844157768711776,5.906650150760795e-05,3.1887162806389045e-05,8.469407484673895e-05,8.212463774943792e-05,0.00010622235276323925,0.00026694485745258867,0.00016040834640837766,7.456529065919257e-05,0.00018118088066350013,6.34464151008616e-05,8.948176831590461e-05,8.182143762927116e-05,0.00014631027176827686,4.450410875677884e-05,8.712663458219806e-05,6.342238638070182e-05,0.00010640158291727708,9.373910436684419e-05,6.941217790250129e-05,0.00013032032972410632,0.00013893718594726057,7.206351417558266e-05,6.384281594267186e-05,0.0001252976203813013,8.131378593697322e-05,-2.4150098823640342e-06,8.579974378142531e-05,5.9107772274180886e-05,8.928642236941094e-05,3.1288690215327285e-05,0.00028758872007952224,7.43001467890705e-05,0.0001265327012986511,0.0002913180838524599,0.00012762925063121926,0.00011370287823325217,0.00032522866035736547,2.7988384134252727e-05,0.0003222139740216634,4.953116910730504e-05,9.781952295061824e-05,0.00010452232591558314,0.0003380408075043359,8.066214298347907e-05,9.38328024852155e-05,0.00025820705143629494,0.000387242440884595,0.0002751037893733709,9.261736617419597e-05,2.432899375907395e-05,3.086459740728166e-05,0.0002466484320860987,0.00035186823105480444,8.332812882918923e-05,2.0066820674103867e-05,0.0004312525044598376,0.00010471423543484801,0.00012348348054452808,9.37141399232208e-05,0.00017499893979176605,7.78124571845504e-05,0.00012948667437169583,6.509586661165115e-05,1.4035063804452104e-05,0.0002791247526652824,7.744875854700254e-05,8.382816810237124e-05,6.956528906121956e-05,0.00022621556253167878,0.00010474446932433345,0.0002023899893997508,2.0668211200353043e-05,8.3988685975944e-05,0.0002587094642422366,0.0002817822582351306,3.204078068282359e-05,0.00013014332340066897,2.3802640158461722e-05,6.0136737432106544e-05,0.00015528341858813896,9.860487781530988e-05,-7.599908171164273e-07,0.00013700695290966126
AppLovin Corporation,0.0003577066416828605,0.00013654568914364744,0.00040639160888345747,0.0003416806352565789,0.00026509936682232943,0.00025835431432947047,0.000299683683105244,-1.9169488617552207e-05,2.8788190843326832e-05,0.00020819647341952636,0.0022366987293925772,0.00015752983088232708,0.00036956697485568917,0.0006904865126581238,1.7041898283637288e-05,0.00023925657570141913,0.0002285553068817968,5.619739878152613e-05,0.00035455015138249717,0.00013553547016223233,1.6139478549185954e-05,0.00018046947954533597,0.00044103323726811636,0.00010848494436046823,1.3284686987560696e-05,0.00031799946772571814,4.222592819060347e-05,0.00011115265633862964,9.074378849799081e-05,0.00014723513366461573,5.574972931788042e-05,0.0001193310109864553,4.1581474316715306e-05,0.0004237561291886474,0.00017125357472491052,0.00016110225342985137,0.0004638974353049931,0.0002924426712733262,0.00010589154134306467,9.742445791122605e-05,0.0003263191700897536,5.386706921674639e-05,-2.3328425632427897e-05,8.914826970831712e-05,0.00020149530733053076,0.00020523569593666123,4.12983831840448e-05,0.00015493160846623028,7.237404601307677e-05,0.00012254532862797417,0.00034043653765202257,0.00019565592907921876,0.00021546286639390823,0.00036035553163428843,-3.682427566527258e-05,0.0003839644160799641,4.613781995680724e-05,0.00016320691446587672,0.00016722954558267083,0.0005155734215378726,1.0135713073483656e-05,0.00037981165324903004,0.0005971973258639331,0.00022050985583540596,0.0003792374729849726,0.00018252967615007507,-2.2236826347659935e-05,-5.495936539209268e-06,0.0005344019355248757,0.00023883808912974087,0.0003104897662868946,-4.065000667182403e-06,0.0002627363794785127,0.00012772807239024944,0.00011224802039193793,0.00013776330639940482,0.0006554224933551065,0.00028333737677843564,0.0002482894220212987,4.849799301079509e-05,-5.758151222488512e-05,0.0002892180570212922,5.51651945843102e-05,9.247600799832868e-05,0.00011832174898111149,0.0005234259700150734,0.00010896515760484431,0.0003800799198772911,7.487056207473745e-05,0.0002123441115181289,0.0004774153178462428,0.00017109688949901755,-6.11176324161373e-05,0.00022639194426796237,3.211937775506435e-05,8.523447648104439e-05,0.00033293677875573463,0.00011479556871041824,-4.7902653095815326e-05,0.0003821029143668477
